path,module,name,line,length
sentinel-control/services/sentinel-core/sentinel/operator/power_bridge.py,sentinel.operator.power_bridge,run,112,105
sentinel-control/services/sentinel-core/sentinel/operator/real_model_certification.py,sentinel.operator.real_model_certification,_execute_browser_action,4234,105
sentinel-control/services/sentinel-core/sentinel/execution/gtm_pack.py,sentinel.execution.gtm_pack,generate,88,104
sentinel-control/services/sentinel-core/sentinel/operator/desktop_sidecar.py,sentinel.operator.desktop_sidecar,observe_desktop,127,104
sentinel-control/services/sentinel-core/sentinel/perf/hot_cold/receipt_index.py,sentinel.perf.hot_cold.receipt_index,persist_and_index,178,104
sentinel-control/services/sentinel-core/tests/test_browser_runtime_unification_l6_login_file_js_dispatch_lock.py,tests.test_browser_runtime_unification_l6_login_file_js_dispatch_lock,test_runtime_executes_l6_file_download_quarantine_and_js_sandbox,348,104
sentinel-control/services/sentinel-core/sentinel/agent/final_gate.py,sentinel.agent.final_gate,_browser_interaction_execution_contract,1539,103
sentinel-control/services/sentinel-core/sentinel/operator/workspace_patch_runtime.py,sentinel.operator.workspace_patch_runtime,_apply_patch,91,103
sentinel-control/services/sentinel-core/sentinel/organs/browser/final_gate.py,sentinel.organs.browser.final_gate,_check_browser_interaction_execution_contract,687,103
sentinel-control/services/sentinel-core/tests/test_browser_operating_subsystem_hardened_live_backend_lock.py,tests.test_browser_operating_subsystem_hardened_live_backend_lock,test_live_session_and_orchestrator_results_feed_replay_timeline_without_raw_payload,218,103
sentinel-control/services/sentinel-core/sentinel/agent/llm/context_pack.py,sentinel.agent.llm.context_pack,validate,514,102
sentinel-control/services/sentinel-core/tests/perf/caches/test_token_budget_enforcement_property.py,tests.perf.caches.test_token_budget_enforcement_property,test_mission_exhaustion_blocks_new_calls_only,489,102
sentinel-control/services/sentinel-core/sentinel/organs/browser/url_guard.py,sentinel.organs.browser.url_guard,_evaluate_single,86,101
sentinel-control/services/sentinel-core/sentinel/agent/browser/v3_measured_supremacy.py,sentinel.agent.browser.v3_measured_supremacy,_failure_denials,468,101
sentinel-control/services/sentinel-core/sentinel/agent/model_execution/openai_compatible.py,sentinel.agent.model_execution.openai_compatible,map_payload,142,101
sentinel-control/services/sentinel-core/tests/perf/caches/test_safety_invariants_property.py,tests.perf.caches.test_safety_invariants_property,test_no_authority_expansion_silently_succeeds,745,100
sentinel-control/services/sentinel-core/tests/perf/sched/test_runtime_scheduler_wiring.py,tests.perf.sched.test_runtime_scheduler_wiring,test_runtime_injected_path_matches_default_receipt_stream,255,100
sentinel-control/services/sentinel-core/sentinel/agent/final_gate.py,sentinel.agent.final_gate,_browser_v3_form_submit_contract,2195,99
sentinel-control/services/sentinel-core/sentinel/organs/browser/final_gate.py,sentinel.organs.browser.final_gate,_check_browser_v3_form_submit_contract,1352,99
sentinel-control/services/sentinel-core/sentinel/organs/browser/navigation_l6.py,sentinel.organs.browser.navigation_l6,navigate,827,99
sentinel-control/services/sentinel-core/tests/test_agent_browser_v3_remaining_authorities.py,tests.test_agent_browser_v3_remaining_authorities,test_p4c_review_finalgate_rejects_forged_cookie_js_and_har_events,577,99
sentinel-control/services/sentinel-core/sentinel/agent/runtime.py,sentinel.agent.runtime,_memory_items_from_brain_and_dispatch,587,98
sentinel-control/services/sentinel-core/sentinel/operator/model_led_task_loop.py,sentinel.operator.model_led_task_loop,run,141,98
sentinel-control/services/sentinel-core/sentinel/perf/caches/token_budget_governor.py,sentinel.perf.caches.token_budget_governor,enforce_mission,519,98
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,_run_browser_submit_demo,1258,97
sentinel-control/services/sentinel-core/tests/test_browser_runtime_unification_l5_l6_dispatch_lock.py,tests.test_browser_runtime_unification_l5_l6_dispatch_lock,test_dispatcher_routes_l5_open_then_l6_form_submit_through_runtime,557,97
sentinel-control/services/sentinel-core/tests/test_memory_not_authority_property.py,tests.test_memory_not_authority_property,test_repair_reentry_boundary_detects_memory_authority_drift,300,97
sentinel-control/services/sentinel-core/sentinel/organs/browser/v3_advanced_authorities.py,sentinel.organs.browser.v3_advanced_authorities,execute,304,96
