from_cluster,to_cluster,edge_count
sentinel.agent.llm,sentinel.agent.event_bus,2
sentinel.agent.llm,sentinel.mission.models,2
sentinel.agent.organs,sentinel.organs.credentials,2
sentinel.agent.organs,sentinel.agent.perception,2
sentinel.agent.organs,sentinel.agent.brain,2
sentinel.agent.browser,sentinel.agent.organs,2
tests.test_agent_browser_interaction_execution,sentinel.agent.browser,2
tests.test_agent_browser_v3_form_submit,sentinel.agent.browser,2
tests.test_agent_browser_v3_remaining_authorities,sentinel.agent.browser,2
tests.test_agent_browser_v3_upload_authorized,sentinel.agent.browser,2
tests.test_agent_core_models,sentinel.agent,2
tests.test_agent_invariants,sentinel.shared.enums,2
tests.test_brain_native_candidate_source_and_memory_feedback_lock,sentinel.agent.llm,2
tests.test_brain_native_candidate_source_and_memory_feedback_lock,sentinel.agent.organs,2
tests.test_browser_neural_audit_remediation_lock,sentinel.organs.browser,2
tests.test_browser_neural_audit_remediation_lock,sentinel.agent.llm,2
tests.test_browser_neural_audit_remediation_lock,sentinel.agent.browser,2
tests.test_browser_neural_memory_feedback_lock,sentinel.agent.browser,2
tests.test_browser_operator_agent_l4_l5_live,sentinel.organs.browser,2
tests.test_browser_operator_agent_l4_l5_live,sentinel.cli,2
tests.test_browser_receipt_wrapper,sentinel.organs.browser,2
tests.test_browser_runtime_agentruntime_full_browser_stack_lock,sentinel.agent.organs,2
tests.test_browser_runtime_failure_and_concurrency_hardening_lock,sentinel.agent.llm,2
tests.test_browser_runtime_unification_l5_l6_dispatch_lock,sentinel.power_lab,2
tests.test_browser_semantic_extraction_organ_v1,sentinel.agent.llm,2
tests.test_channel_draft_send_organ_v1,sentinel.power.runtime,2
tests.test_cockpit_mission_understanding_protocol_v2,sentinel.operator.models,2
tests.test_delegated_action_gate_model_v0,sentinel.agent.organs,2
tests.test_external_api_read_write_organ_v1,sentinel.power.runtime,2
tests.test_gate_sequence_runtime_wiring,sentinel.mission.gate_sequence,2
tests.test_governed_mutation_artifact_channel_v3,sentinel.operator.real_model_certification,2
tests.test_kill_switch_reactive_property,sentinel.shared.enums,2
tests.test_llm_backed_decision_cycle,sentinel.perf.caches,2
tests.test_model_provider_catalog,sentinel.agent.model_execution,2
tests.test_payment_spend_trading_special_authority_v1,sentinel.operator.financial_authority_replay,2
tests.test_payment_spend_trading_special_authority_v1,sentinel.telemetry.models,2
tests.test_power_fabric_orchestration_demo,sentinel.power.demo,2
tests.test_real_model_behavioral_predictive_harness_audit,sentinel.operator.real_model_certification,2
tests.test_real_model_execution_backend,sentinel.agent.model_execution,2
tests.test_runtime_model_execution_wiring,sentinel.agent.model_execution,2
tests.test_sandbox_shell_code_organ_v1,sentinel.power.runtime,2
tests.test_shared_events_layering,sentinel.shared.events,2
tests.operator,sentinel.agent.organs,2
tests.operator,sentinel.operator.replay,2
tests.operator,sentinel.shared.enums,2
tests.operator,sentinel.operator.connection_identity_registry,2
tests.operator,sentinel.operator.runtime_connections,2
tests.operator,sentinel.operator.workspace_patch_runtime,2
tests.operator,sentinel.operator.real_browser_control_models,2
tests.operator,sentinel.operator.unified_execution_dispatcher,2
tests.operator,sentinel.agent.model_execution,2
tests.operator,sentinel.operator.cockpit,2
tests.perf,sentinel.mission,2
sentinel.cli,sentinel.agent.model_contract,1
sentinel.cli,sentinel.operator.authority_issuer,1
sentinel.cli,sentinel.operator.cockpit,1
sentinel.cli,sentinel.operator.legacy_classification,1
sentinel.cli,sentinel.operator.mission_lifecycle_service,1
sentinel.cli,sentinel.operator.model_client,1
sentinel.cli,sentinel.operator.models,1
sentinel.cli,sentinel.operator.product_execution_binding,1
sentinel.cli,sentinel.operator.replay,1
sentinel.cli,sentinel.operator.read_only_model_clients,1
sentinel.cli,sentinel.operator.runtime_host,1
sentinel.cli,sentinel.operator.structured_output,1
sentinel.cli,sentinel.power_lab,1
sentinel.power_lab,sentinel.agent.models,1
sentinel.power_lab,sentinel.agent.runtime,1
sentinel.power_lab,sentinel.agent.llm,1
sentinel.power_lab,sentinel.mission.models,1
sentinel.power_lab,sentinel.shared.models,1
sentinel.__main__,sentinel.cli,1
